Parameter,Time,Value
Temp High,20220828,30.43
Temp Low,20220828,24.73
Humidity,20220828,82
Cloud Cover,20220828,86
Temp High,20220829,30.96
Temp Low,20220829,24.66
Humidity,20220829,82
Cloud Cover,20220829,85
Temp High,20220830,31.46
Temp Low,20220830,24.95
Humidity,20220830,80
Cloud Cover,20220830,73
Temp High,20220831,30.93
Temp Low,20220831,25.24
Humidity,20220831,80
Cloud Cover,20220831,80
Temp High,20220901,31.31
Temp Low,20220901,25.22
Humidity,20220901,81
Cloud Cover,20220901,79
Temp High,20220902,31.69
Temp Low,20220902,25.01
Humidity,20220902,81
Cloud Cover,20220902,42
Temp High,20220903,31.9
Temp Low,20220903,24.84
Humidity,20220903,82
Cloud Cover,20220903,63
Temp High,20220904,31.34
Temp Low,20220904,24.24
Humidity,20220904,85
Cloud Cover,20220904,72
